source,title,description,url,publishedAt
Gizmodo.com,Remember When Nanotech Was the Next Big Thing?,"As the market reckons with AI's future, it's good to remember that we've been through this boom and bust hype cycle with technology before.",https://gizmodo.com/remember-when-nanotech-was-the-next-big-thing-2000555775,2025-01-28T16:15:30Z
Business Insider,"Jamie Dimon sounds the alarm on stocks, says the market is looking 'kind of inflated'",JPMorgan CEO Jamie Dimon said a lot has to go right for the stock market to continue its record rally.,https://markets.businessinsider.com/news/stocks/stock-market-outlook-jamie-dimon-inflated-asset-prices-equity-valuations-2025-1,2025-01-22T15:33:56Z
Business Insider,Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,"The retired chip CEO claimed ""the markets are getting it wrong"" on Monday after investors triggered a sell-off in response to China's DeepSeek.",https://www.businessinsider.com/intel-pat-gelsinger-deepseek-market-wrong-nvidia-2025-1,2025-01-27T18:38:48Z
Business Insider,"Walmart's multi-store managers can now make up to $620,000","Walmart said it will increase base salary, stock grants, and bonus pay for around 440 market managers who each oversee multiple retail locations.",https://www.businessinsider.com/walmart-multi-store-manager-pay-increase-salary-bonus-stock-grant-2025-1,2025-01-23T21:45:36Z
Yahoo Entertainment,"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET","SAM YEH via Getty Images

It's hard to find a company that had a better 2024 than NVIDIA. Even after some choppiness in recent weeks, the chip giant's stock price finished last year up 178 percent, and its market cap of more than $3.3 trillion dollars — with…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c6877908-0370-4718-b4d9-1af8900ea113,2025-01-03T17:49:47Z
Investor's Business Daily,"Dow Jones Futures: Stock Market Sells Off As Nvidia, Palantir Tumble; What To Do Now",The stock market sold off Tuesday as yields rose and growth stocks fell sharply.,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-sells-off-nvidia-palantir-tumble/,2025-01-08T00:50:19Z
NPR,U.S. stock markets tumble as investors worry about DeepSeek,The Chinese A.I. company may be about to burst Silicon Valley's bubble.,https://www.npr.org/2025/01/27/nx-s1-5276097/wall-street-stock-markets-tumble-deepseek-ai-tech-stock,2025-01-27T16:43:15Z
Business Insider,Tech stocks stage partial recovery after market rout sparked by DeepSeek's rise,Nvidia closed higher on Tuesday as some investors seized an opportunity to buy the chip giant at a discount following its record wipeout on Monday.,https://markets.businessinsider.com/news/stocks/tech-stocks-rebound-deepseek-selloff-nvidia-asml-nasdaq-2025-1,2025-01-29T11:30:00Z
Business Insider,Apple's China problems keep weighing on the stock,"Apple faced two downgrades ahead of earnings, with analysts citing weak iPhone demand. China continues to be a headwind for sales.",https://www.businessinsider.com/apple-china-iphone-problems-weighing-on-stock-analyst-downgrades-2025-1,2025-01-21T21:09:37Z
Yahoo Entertainment,"Stock market today: Nasdaq clobbered, S&P 500 tumbles as AI fears rock Nvidia, tech stocks",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_931ac396-98b9-4143-bd0f-7cd8ac21cf7d,2025-01-27T14:31:16Z
