Date,Sentiment_Score
2019-01-02,-1.0
2019-01-03,0.5
2019-01-04,0.0
2019-01-05,0.0
2019-01-07,0.0
2019-01-09,1.0
2019-01-10,-0.3333333333333333
2019-01-14,1.0
2019-01-16,0.0
2019-01-17,0.3333333333333333
2019-01-18,0.0
2019-01-19,0.6666666666666666
2019-01-20,1.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.6666666666666666
2019-01-30,1.0
2019-01-31,0.2
2019-02-05,0.5
2019-02-06,1.0
2019-02-10,0.0
2019-02-11,0.0
2019-02-12,1.0
2019-02-13,1.0
2019-02-14,0.5
2019-02-15,1.0
2019-02-17,0.0
2019-02-18,0.6666666666666666
2019-02-20,0.0
2019-02-25,1.0
2019-02-26,1.0
2019-02-28,0.5
2019-03-01,0.0
2019-03-03,-0.5
2019-03-07,0.0
2019-03-08,1.0
2019-03-09,1.0
2019-03-11,0.0
2019-03-13,-1.0
2019-03-14,0.0
2019-03-15,-1.0
2019-03-16,0.0
2019-03-17,0.0
2019-03-19,-1.0
2019-03-23,0.0
2019-03-24,1.0
2019-03-26,0.0
2019-03-29,1.0
2019-03-30,0.0
2019-03-31,1.0
2019-04-02,-1.0
2019-04-03,0.0
2019-04-05,0.0
2019-04-10,0.0
2019-04-12,0.0
2019-04-13,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,1.0
2019-04-18,-1.0
2019-04-19,0.5
2019-04-20,1.0
2019-04-21,0.5
2019-04-24,0.0
2019-04-26,0.14285714285714285
2019-04-27,0.0
2019-04-29,0.6666666666666666
2019-04-30,0.75
2019-05-01,0.5
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-11,0.0
2019-05-13,-0.25
2019-05-16,0.0
2019-05-18,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-25,0.0
2019-05-26,0.0
2019-05-31,0.0
2019-06-02,0.5
2019-06-04,-0.5
2019-06-05,0.0
2019-06-07,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-14,0.0
2019-06-15,1.0
2019-06-17,-0.3333333333333333
2019-06-18,0.0
2019-06-20,0.3333333333333333
2019-06-21,0.0
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-30,0.0
2019-07-02,0.0
2019-07-04,-0.6666666666666666
2019-07-07,0.0
2019-07-10,0.0
2019-07-11,1.0
2019-07-13,0.5
2019-07-14,0.5
2019-07-15,0.0
2019-07-18,-1.0
2019-07-19,0.0
2019-07-22,0.0
2019-07-25,0.0
2019-07-26,-1.0
2019-07-27,0.0
2019-07-28,1.0
2019-07-29,0.0
2019-07-30,0.5
2019-07-31,0.0
2019-08-02,0.0
2019-08-03,0.0
2019-08-04,0.0
2019-08-08,1.0
2019-08-10,-0.5
2019-08-11,0.0
2019-08-13,0.0
2019-08-14,-1.0
2019-08-15,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-23,1.0
2019-08-24,0.0
2019-08-26,1.0
2019-08-28,0.0
2019-08-29,1.0
2019-08-30,-1.0
2019-08-31,0.0
2019-09-01,-0.5
2019-09-02,0.3333333333333333
2019-09-03,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-12,0.0
2019-09-14,0.0
2019-09-15,0.5
2019-09-16,1.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-24,0.0
2019-09-25,0.5
2019-09-26,0.0
2019-09-29,0.5
2019-10-01,0.5
2019-10-02,-0.5
2019-10-03,-1.0
2019-10-04,0.0
2019-10-06,1.0
2019-10-07,1.0
2019-10-11,-1.0
2019-10-13,0.5
2019-10-14,1.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.5
2019-10-24,0.0
2019-10-25,0.0
2019-10-29,-1.0
2019-10-30,1.0
2019-11-01,0.3333333333333333
2019-11-02,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,-1.0
2019-11-07,0.0
2019-11-08,-1.0
2019-11-09,0.0
2019-11-10,1.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-20,1.0
2019-11-21,0.0
2019-11-23,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-30,0.5
2019-12-02,1.0
2019-12-03,-1.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-11,0.0
2019-12-13,0.0
2019-12-14,0.5
2019-12-16,0.0
2019-12-19,0.0
2019-12-23,0.5
2019-12-24,0.0
2019-12-25,0.0
2019-12-30,1.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-04,-1.0
2020-01-05,0.0
2020-01-06,0.3333333333333333
2020-01-08,0.0
2020-01-10,1.0
2020-01-11,0.0
